[quark]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_nNeutral_quark}
632 795 7 8 4 0 100 5.349 18.975 
795 1000 7 8 4 0 100 5.572 19.294 
1000 3500 7 8 4 0 100 6.498 18.096 
20 26 8 9 4 0 100 5.685 8.681 
26 32 8 9 4 0 100 6.143 9.378 
32 40 8 9 4 0 100 6.661 10.138 
40 51 8 9 4 0 100 6.157 10.958 
51 64 8 9 4 0 100 6.237 11.911 
64 80 8 9 4 0 100 5.994 12.486 
80 101 8 9 4 0 100 5.686 13.543 
101 127 8 9 4 0 100 5.565 14.517 
127 159 8 9 4 0 100 5.265 15.120 
159 200 8 9 4 0 100 5.314 15.666 
200 252 8 9 4 0 100 5.165 16.535 
252 317 8 9 4 0 100 5.075 17.250 
317 399 8 9 4 0 100 5.263 18.038 
399 502 8 9 4 0 100 5.203 18.846 
502 632 8 9 4 0 100 5.580 19.170 
632 795 8 9 4 0 100 5.768 19.589 
795 1000 8 9 4 0 100 5.910 19.383 
1000 3500 8 9 4 0 100 5.877 18.800 
20 26 9 10 4 0 100 6.960 9.076 
26 32 9 10 4 0 100 6.536 9.747 
32 40 9 10 4 0 100 7.073 10.714 
40 51 9 10 4 0 100 6.773 11.474 
51 64 9 10 4 0 100 6.234 12.156 
64 80 9 10 4 0 100 6.226 13.115 
80 101 9 10 4 0 100 5.901 13.979 
101 127 9 10 4 0 100 5.934 14.577 
127 159 9 10 4 0 100 5.373 15.265 
159 200 9 10 4 0 100 5.450 16.143 
200 252 9 10 4 0 100 5.330 16.915 
252 317 9 10 4 0 100 5.263 17.453 
317 399 9 10 4 0 100 5.377 18.339 
399 502 9 10 4 0 100 5.454 19.021 
502 632 9 10 4 0 100 5.727 19.802 
632 795 9 10 4 0 100 5.781 20.153 
795 1000 9 10 4 0 100 6.121 20.144 
1000 3500 9 10 4 0 100 6.247 18.990 
20 26 10 11 4 0 100 6.233 9.326 
26 32 10 11 4 0 100 6.714 10.333 
32 40 10 11 4 0 100 7.098 10.979 
40 51 10 11 4 0 100 6.668 11.848 
51 64 10 11 4 0 100 6.525 12.775 
64 80 10 11 4 0 100 6.387 13.450 
80 101 10 11 4 0 100 6.456 14.124 
101 127 10 11 4 0 100 6.003 15.164 
127 159 10 11 4 0 100 5.692 15.814 
159 200 10 11 4 0 100 5.498 16.397 
200 252 10 11 4 0 100 5.333 17.198 
252 317 10 11 4 0 100 5.268 17.950 
317 399 10 11 4 0 100 5.431 18.833 
399 502 10 11 4 0 100 5.439 19.340 
502 632 10 11 4 0 100 5.718 19.940 
632 795 10 11 4 0 100 5.941 20.219 
795 1000 10 11 4 0 100 6.260 20.040 
1000 3500 10 11 4 0 100 6.632 19.409 
20 26 11 12 4 0 100 7.434 9.840 
26 32 11 12 4 0 100 7.032 10.515 
32 40 11 12 4 0 100 7.158 11.328 
40 51 11 12 4 0 100 6.743 12.202 
51 64 11 12 4 0 100 6.456 13.135 
64 80 11 12 4 0 100 6.273 13.796 
80 101 11 12 4 0 100 6.184 14.517 
101 127 11 12 4 0 100 5.871 15.401 
127 159 11 12 4 0 100 5.860 16.088 
159 200 11 12 4 0 100 5.653 16.766 
200 252 11 12 4 0 100 5.658 17.574 
252 317 11 12 4 0 100 5.598 18.322 
317 399 11 12 4 0 100 5.469 19.073 
399 502 11 12 4 0 100 5.790 19.608 
502 632 11 12 4 0 100 5.840 20.207 
632 795 11 12 4 0 100 6.196 20.517 
795 1000 11 12 4 0 100 6.249 20.370 
1000 3500 11 12 4 0 100 7.029 20.026 
20 26 12 13 4 0 100 7.106 10.084 
26 32 12 13 4 0 100 7.445 10.973 
32 40 12 13 4 0 100 6.947 11.706 
40 51 12 13 4 0 100 7.143 12.596 
51 64 12 13 4 0 100 6.687 13.499 
64 80 12 13 4 0 100 6.604 14.041 
80 101 12 13 4 0 100 6.445 14.776 
101 127 12 13 4 0 100 6.388 15.761 
127 159 12 13 4 0 100 5.888 16.406 
159 200 12 13 4 0 100 5.855 17.108 
200 252 12 13 4 0 100 5.706 17.911 
252 317 12 13 4 0 100 5.732 18.571 
317 399 12 13 4 0 100 5.796 19.408 
399 502 12 13 4 0 100 5.808 20.106 
502 632 12 13 4 0 100 6.012 20.653 
632 795 12 13 4 0 100 6.399 20.921 
795 1000 12 13 4 0 100 6.505 21.080 
1000 3500 12 13 4 0 100 6.960 20.210 
20 26 13 14 4 0 100 7.416 10.442 
26 32 13 14 4 0 100 7.393 11.302 
32 40 13 14 4 0 100 7.906 12.063 
40 51 13 14 4 0 100 7.268 12.882 
51 64 13 14 4 0 100 7.081 13.692 
64 80 13 14 4 0 100 6.615 14.456 
80 101 13 14 4 0 100 6.565 15.230 
101 127 13 14 4 0 100 6.449 16.050 
127 159 13 14 4 0 100 5.966 16.778 
159 200 13 14 4 0 100 5.978 17.424 
200 252 13 14 4 0 100 5.890 18.165 
252 317 13 14 4 0 100 5.669 18.895 
317 399 13 14 4 0 100 6.060 19.660 
399 502 13 14 4 0 100 6.036 20.450 
502 632 13 14 4 0 100 6.459 20.933 
632 795 13 14 4 0 100 6.552 21.258 
795 1000 13 14 4 0 100 6.833 21.250 
1000 3500 13 14 4 0 100 7.374 20.588 
20 26 14 15 4 0 100 7.301 10.951 
26 32 14 15 4 0 100 7.713 11.626 
32 40 14 15 4 0 100 7.695 12.335 
40 51 14 15 4 0 100 7.542 13.309 
51 64 14 15 4 0 100 7.205 14.019 
64 80 14 15 4 0 100 6.993 14.907 
80 101 14 15 4 0 100 6.573 15.605 
101 127 14 15 4 0 100 6.317 16.377 
127 159 14 15 4 0 100 6.287 17.069 
159 200 14 15 4 0 100 6.074 17.721 
200 252 14 15 4 0 100 5.973 18.497 
252 317 14 15 4 0 100 5.988 19.302 
317 399 14 15 4 0 100 6.002 20.061 
399 502 14 15 4 0 100 6.157 20.648 
502 632 14 15 4 0 100 6.398 21.288 
632 795 14 15 4 0 100 6.609 21.642 
795 1000 14 15 4 0 100 7.032 21.659 
1000 3500 14 15 4 0 100 7.361 21.070 
20 26 15 16 4 0 100 8.099 11.302 
26 32 15 16 4 0 100 7.455 12.046 
32 40 15 16 4 0 100 7.573 12.823 
40 51 15 16 4 0 100 7.412 13.569 
51 64 15 16 4 0 100 7.825 14.369 
64 80 15 16 4 0 100 7.507 15.339 
80 101 15 16 4 0 100 6.967 16.005 
101 127 15 16 4 0 100 6.595 16.777 
127 159 15 16 4 0 100 6.322 17.425 
159 200 15 16 4 0 100 6.148 17.975 
200 252 15 16 4 0 100 6.155 18.633 
252 317 15 16 4 0 100 6.141 19.475 
317 399 15 16 4 0 100 6.079 20.330 
399 502 15 16 4 0 100 6.368 20.963 
502 632 15 16 4 0 100 6.601 21.587 
632 795 15 16 4 0 100 6.735 22.006 
795 1000 15 16 4 0 100 7.153 22.016 
1000 3500 15 16 4 0 100 7.701 21.297 
20 26 16 17 4 0 100 7.763 11.838 
26 32 16 17 4 0 100 7.760 12.415 
32 40 16 17 4 0 100 8.210 13.101 
40 51 16 17 4 0 100 7.815 13.873 
51 64 16 17 4 0 100 7.679 14.764 
64 80 16 17 4 0 100 7.285 15.485 
80 101 16 17 4 0 100 7.085 16.206 
101 127 16 17 4 0 100 6.600 17.026 
127 159 16 17 4 0 100 6.380 17.733 
159 200 16 17 4 0 100 6.185 18.444 
200 252 16 17 4 0 100 6.092 19.106 
252 317 16 17 4 0 100 6.178 19.934 
317 399 16 17 4 0 100 6.243 20.620 
399 502 16 17 4 0 100 6.489 21.429 
502 632 16 17 4 0 100 6.729 21.912 
632 795 16 17 4 0 100 7.281 22.210 
795 1000 16 17 4 0 100 7.464 22.510 
1000 3500 16 17 4 0 100 7.711 21.795 
20 26 17 18 4 0 100 7.787 11.956 
26 32 17 18 4 0 100 8.827 12.877 
32 40 17 18 4 0 100 7.875 13.590 
40 51 17 18 4 0 100 7.669 14.360 
51 64 17 18 4 0 100 7.394 15.019 
64 80 17 18 4 0 100 7.579 15.743 
80 101 17 18 4 0 100 7.121 16.527 
101 127 17 18 4 0 100 6.867 17.337 
127 159 17 18 4 0 100 6.623 17.985 
159 200 17 18 4 0 100 6.546 18.766 
200 252 17 18 4 0 100 6.391 19.380 
252 317 17 18 4 0 100 6.291 20.214 
317 399 17 18 4 0 100 6.446 20.909 
399 502 17 18 4 0 100 6.631 21.559 
502 632 17 18 4 0 100 6.873 22.328 
632 795 17 18 4 0 100 7.196 22.808 
795 1000 17 18 4 0 100 7.644 22.646 
1000 3500 17 18 4 0 100 8.333 22.108 
20 26 18 19 4 0 100 7.965 12.270 
26 32 18 19 4 0 100 8.115 13.119 
32 40 18 19 4 0 100 8.229 13.731 
40 51 18 19 4 0 100 8.511 14.634 
51 64 18 19 4 0 100 7.781 15.418 
64 80 18 19 4 0 100 7.462 16.229 
80 101 18 19 4 0 100 7.438 16.956 
101 127 18 19 4 0 100 7.050 17.613 
127 159 18 19 4 0 100 6.723 18.393 
159 200 18 19 4 0 100 6.465 19.012 
200 252 18 19 4 0 100 6.693 19.872 
252 317 18 19 4 0 100 6.580 20.466 
317 399 18 19 4 0 100 6.375 21.232 
399 502 18 19 4 0 100 6.607 21.878 
