[quark]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_nCharged_quark}
502 632 17 18 4 0 100 12.029 29.978 
632 795 17 18 4 0 100 12.180 31.105 
795 1000 17 18 4 0 100 3.848 33.641 
1000 3500 17 18 4 0 100 6.342 35.977 
20 26 18 19 4 0 100 19.299 18.718 
26 32 18 19 4 0 100 17.209 18.914 
32 40 18 19 4 0 100 15.974 20.493 
40 51 18 19 4 0 100 16.002 20.038 
51 64 18 19 4 0 100 20.000 21.754 
64 80 18 19 4 0 100 16.366 21.774 
80 101 18 19 4 0 100 17.704 23.552 
101 127 18 19 4 0 100 12.786 24.081 
127 159 18 19 4 0 100 14.457 24.873 
159 200 18 19 4 0 100 15.919 25.819 
200 252 18 19 4 0 100 11.417 27.031 
252 317 18 19 4 0 100 12.657 28.473 
317 399 18 19 4 0 100 10.434 29.456 
399 502 18 19 4 0 100 11.644 29.880 
502 632 18 19 4 0 100 10.079 30.343 
632 795 18 19 4 0 100 4.077 34.898 
795 1000 18 19 4 0 100 3.664 33.657 
1000 3500 18 19 4 0 100 9.829 31.814 
20 26 19 100 4 0 100 9.743 19.792 
26 32 19 100 4 0 100 11.893 21.059 
32 40 19 100 4 0 100 13.159 22.928 
40 51 19 100 4 0 100 20.000 22.003 
51 64 19 100 4 0 100 14.382 23.327 
64 80 19 100 4 0 100 13.906 23.451 
80 101 19 100 4 0 100 16.760 23.172 
101 127 19 100 4 0 100 19.493 25.148 
127 159 19 100 4 0 100 16.160 25.680 
159 200 19 100 4 0 100 14.585 27.712 
200 252 19 100 4 0 100 12.322 28.616 
252 317 19 100 4 0 100 11.881 29.064 
317 399 19 100 4 0 100 12.968 29.791 
399 502 19 100 4 0 100 10.883 31.235 
502 632 19 100 4 0 100 9.365 32.563 
632 795 19 100 4 0 100 6.916 36.249 
795 1000 19 100 4 0 100 6.165 33.777 
1000 3500 19 100 4 0 100 5.801 36.881 
[gluon]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_nCharged_gluon}
20 26 0 1 4 0 100 8.911 7.046 
26 32 0 1 4 0 100 8.984 8.024 
32 40 0 1 4 0 100 9.021 8.973 
40 51 0 1 4 0 100 9.450 10.081 
51 64 0 1 4 0 100 9.445 11.271 
64 80 0 1 4 0 100 9.746 12.537 
80 101 0 1 4 0 100 9.403 13.893 
101 127 0 1 4 0 100 9.768 15.215 
127 159 0 1 4 0 100 9.327 16.806 
159 200 0 1 4 0 100 9.479 18.398 
200 252 0 1 4 0 100 9.411 20.250 
252 317 0 1 4 0 100 8.915 21.945 
317 399 0 1 4 0 100 8.571 23.648 
399 502 0 1 4 0 100 8.962 25.449 
502 632 0 1 4 0 100 8.016 26.718 
632 795 0 1 4 0 100 8.636 29.695 
795 1000 0 1 4 0 100 7.200 31.812 
1000 3500 0 1 4 0 100 5.873 33.482 
20 26 1 2 4 0 100 9.181 7.644 
26 32 1 2 4 0 100 9.396 8.600 
32 40 1 2 4 0 100 9.809 9.558 
40 51 1 2 4 0 100 9.942 10.655 
51 64 1 2 4 0 100 10.219 11.832 
64 80 1 2 4 0 100 10.256 13.073 
80 101 1 2 4 0 100 10.184 14.474 
101 127 1 2 4 0 100 10.202 15.966 
127 159 1 2 4 0 100 10.001 17.509 
159 200 1 2 4 0 100 9.622 19.140 
