[quark]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_nCharged_quark}
317 399 1 2 4 0 100 5.983 27.191 
399 502 1 2 4 0 100 10.506 28.441 
502 632 1 2 4 0 100 18.433 27.218 
632 795 1 2 4 0 100 20.000 28.215 
795 1000 1 2 4 0 100 20.000 27.736 
1000 3500 1 2 4 0 100 20.000 50.000 
20 26 2 3 4 0 100 8.253 8.707 
26 32 2 3 4 0 100 12.716 9.239 
32 40 2 3 4 0 100 10.377 10.267 
40 51 2 3 4 0 100 11.237 10.979 
51 64 2 3 4 0 100 9.491 12.691 
64 80 2 3 4 0 100 12.281 13.763 
80 101 2 3 4 0 100 10.412 15.082 
101 127 2 3 4 0 100 10.888 17.428 
127 159 2 3 4 0 100 10.243 18.340 
159 200 2 3 4 0 100 11.430 20.394 
200 252 2 3 4 0 100 9.325 22.147 
252 317 2 3 4 0 100 9.980 26.789 
317 399 2 3 4 0 100 8.659 27.213 
399 502 2 3 4 0 100 4.115 31.228 
502 632 2 3 4 0 100 4.802 32.367 
632 795 2 3 4 0 100 4.999 35.561 
795 1000 2 3 4 0 100 9.762 34.403 
1000 3500 2 3 4 0 100 20.000 29.936 
20 26 3 4 4 0 100 8.845 9.277 
26 32 3 4 4 0 100 9.993 10.388 
32 40 3 4 4 0 100 9.768 11.434 
40 51 3 4 4 0 100 11.035 12.217 
51 64 3 4 4 0 100 10.323 13.613 
64 80 3 4 4 0 100 11.104 14.714 
80 101 3 4 4 0 100 11.418 15.927 
101 127 3 4 4 0 100 11.688 17.624 
127 159 3 4 4 0 100 12.762 19.348 
159 200 3 4 4 0 100 11.027 21.007 
200 252 3 4 4 0 100 9.848 23.128 
252 317 3 4 4 0 100 11.277 24.743 
317 399 3 4 4 0 100 9.817 26.662 
399 502 3 4 4 0 100 8.627 31.016 
502 632 3 4 4 0 100 11.178 32.339 
632 795 3 4 4 0 100 4.745 41.077 
795 1000 3 4 4 0 100 5.790 38.663 
1000 3500 3 4 4 0 100 9.668 39.500 
20 26 4 5 4 0 100 10.464 10.125 
26 32 4 5 4 0 100 11.161 11.053 
32 40 4 5 4 0 100 10.724 11.979 
40 51 4 5 4 0 100 11.977 13.045 
51 64 4 5 4 0 100 12.810 14.360 
64 80 4 5 4 0 100 12.657 15.415 
80 101 4 5 4 0 100 11.701 17.106 
101 127 4 5 4 0 100 12.046 18.388 
127 159 4 5 4 0 100 12.937 19.899 
159 200 4 5 4 0 100 11.547 21.883 
200 252 4 5 4 0 100 11.306 23.755 
252 317 4 5 4 0 100 11.019 26.081 
317 399 4 5 4 0 100 10.794 28.168 
399 502 4 5 4 0 100 8.695 30.513 
502 632 4 5 4 0 100 8.811 32.799 
632 795 4 5 4 0 100 6.458 38.747 
795 1000 4 5 4 0 100 4.734 40.937 
1000 3500 4 5 4 0 100 7.153 41.878 
20 26 5 6 4 0 100 11.155 10.630 
26 32 5 6 4 0 100 11.213 11.501 
32 40 5 6 4 0 100 12.721 12.798 
40 51 5 6 4 0 100 12.407 13.957 
51 64 5 6 4 0 100 13.138 15.264 
64 80 5 6 4 0 100 12.466 16.477 
80 101 5 6 4 0 100 12.150 17.773 
101 127 5 6 4 0 100 12.764 19.176 
127 159 5 6 4 0 100 12.702 20.925 
159 200 5 6 4 0 100 11.757 22.783 
200 252 5 6 4 0 100 11.311 24.642 
